timestamp[ms],x_accel_raw,y_accel_raw,z_accel_raw,x_gyro_raw,y_gyro_raw,z_gyro_raw,pressure[Pa],state,liftoff_detect,top_detect,burnout_detect,latitude[°],longitude[°]
981714,-1045,-2257,381,6493,-12689,32764,95542.078125,4,2,2,3,33.766281,130.896820
981724,-1669,-1830,426,8442,-11997,32764,95542.078125,4,2,2,3,33.766281,130.896820
981734,-1551,-2780,601,6392,-13094,32764,95542.078125,4,2,2,3,33.766281,130.896820
981744,-1900,-1488,499,6542,-13646,32764,95542.078125,4,2,2,3,33.766281,130.896820
981754,-1910,-1749,858,3948,-14951,32764,95556.085938,4,2,2,3,33.766281,130.896820
981764,-2519,-1886,1049,3038,-15325,32764,95556.085938,4,2,2,3,33.766281,130.896820
981774,-1889,-1481,1125,1443,-16811,32764,95556.085938,4,2,2,3,33.766281,130.896820
981784,-2068,-1587,1297,-1032,-17484,32764,95556.085938,4,2,2,3,33.766281,130.896820
981794,-2234,-850,1412,-3473,-17704,32764,95565.312500,4,2,2,3,33.766281,130.896820
981804,-2247,-445,1478,-5971,-17477,32764,95565.312500,4,2,2,3,33.766281,130.896820
981814,-2485,-483,753,-9603,-16832,32764,95565.312500,4,2,2,3,33.766281,130.896820
981824,-2829,-1948,1256,-11637,-15869,32764,95565.312500,4,2,2,3,33.766281,130.896820
981834,-3194,3022,691,-14575,-13958,32764,95574.890625,4,2,2,3,33.766281,130.896820
981844,-1091,-910,1826,-16848,-11492,32764,95574.890625,4,2,2,3,33.766281,130.896820
981854,-1754,-1878,1945,-18546,-8694,32764,95574.890625,4,2,2,3,33.766281,130.896820
981864,-212,1572,1857,-20087,-5118,32764,95574.890625,4,2,2,3,33.766281,130.896820
981874,-801,-1611,1937,-20458,-1355,32764,95572.320312,4,2,2,3,33.766281,130.896820
981884,-2141,-763,1832,-20106,3147,32764,95572.320312,4,2,2,3,33.766281,130.896820
981894,-1061,-70,1709,-18895,7116,32764,95572.320312,4,2,2,3,33.766281,130.896820
981904,-1640,-1679,1616,-17045,10771,32764,95572.320312,4,2,2,3,33.766281,130.896820
981914,-2736,-250,1355,-14076,14319,32764,95576.015625,4,2,2,3,33.766281,130.896820
981924,-2181,-50,1282,-11000,16580,32764,95576.015625,4,2,2,3,33.766281,130.896820
981934,-2715,-888,1269,-7690,17849,32764,95576.015625,4,2,2,3,33.766281,130.896820
981944,-2765,211,1231,-3919,18093,32764,95576.015625,4,2,2,3,33.766281,130.896820
981954,-3163,-513,1396,-769,17218,32764,95583.085938,4,2,2,3,33.766281,130.896820
981964,-3900,206,1551,2119,15330,32764,95583.085938,4,2,2,3,33.766281,130.896820
981974,-3060,1311,1814,3945,12945,32764,95583.085938,4,2,2,3,33.766281,130.896820
981984,-3375,751,1789,4764,10274,32764,95583.085938,4,2,2,3,33.766281,130.896820
981994,-3945,1339,1864,4660,7002,32764,95594.195312,4,2,2,3,33.766281,130.896820
982004,-3589,1395,1814,3583,4226,32764,95594.195312,4,2,2,3,33.766281,130.896820
982014,-3222,1859,1851,1633,1611,32764,95594.195312,4,2,2,3,33.766281,130.896820
982024,-3330,1902,2130,-737,-220,32764,95594.195312,4,2,2,3,33.766281,130.896820
982034,-2793,1933,1748,-3371,-1388,32764,95600.968750,4,2,2,3,33.766281,130.896820
982044,-2359,1342,1885,-6366,-1823,32764,95600.968750,4,2,2,3,33.766281,130.896820
982054,-2167,1758,1793,-8986,-1644,32764,95600.968750,4,2,2,3,33.766281,130.896820
982064,-1705,2634,1684,-11867,-822,32764,95600.968750,4,2,2,3,33.766281,130.896820
982074,-1579,1415,1609,-14038,361,32764,95609.921875,4,2,2,3,33.766281,130.896820
982084,-1839,1199,1491,-15860,1837,32764,95609.921875,4,2,2,3,33.766281,130.896820
982094,-1569,1625,1215,-17516,3904,32764,95609.921875,4,2,2,3,33.766281,130.896820
982104,-776,1814,1160,-18587,5857,32764,95609.921875,4,2,2,3,33.766281,130.896820
982114,-797,984,1093,-19344,8215,32764,95618.359375,4,2,2,3,33.766281,130.896820
982124,-1240,1202,950,-19645,10405,32764,95618.359375,4,2,2,3,33.766281,130.896820
982134,-833,1167,1081,-19526,12555,32764,95618.359375,4,2,2,3,33.766281,130.896820
982144,-759,666,915,-19141,14955,32764,95618.359375,4,2,2,3,33.766281,130.896820
982154,-761,1634,865,-18526,16999,32764,95628.437500,4,2,2,3,33.766281,130.896820
982164,-768,575,941,-17466,19224,32764,95628.437500,4,2,2,3,33.766281,130.896820
982174,-798,631,989,-16316,21048,32764,95628.437500,4,2,2,3,33.766281,130.896820
982184,-707,1262,1020,-15134,22652,32764,95628.437500,4,2,2,3,33.766281,130.896820
982194,-743,650,1063,-13673,24233,32764,95642.625000,4,2,2,3,33.766281,130.896820
982204,-1037,1020,1105,-12265,25458,32764,95642.625000,4,2,2,3,33.766281,130.896820
982214,-1066,1045,1164,-10780,26455,32764,95642.625000,4,2,2,3,33.766281,130.896820
982224,-899,1061,1194,-9429,27150,32764,95642.625000,4,2,2,3,33.766281,130.896820
982234,-1157,1104,1173,-8231,27559,32764,95652.531250,4,2,2,3,33.766281,130.896820
982244,-1331,821,1223,-6930,27711,32764,95652.531250,4,2,2,3,33.766281,130.896820
982254,-1581,750,1216,-5909,27679,32764,95652.531250,4,2,2,3,33.766281,130.896820
982264,-1654,1170,1230,-4970,27391,32764,95652.531250,4,2,2,3,33.766281,130.896820
